Sentença,Classe
a CBF informou que vai esperar o resultado dos exames para avaliar a situação de Daniel,F
O clube francês ainda não se manifestou,F
"A convocação de Tite para a Copa será na próxima segunda-feira, dia 14",F
"Com improvisação na zaga, Grêmio dá teste de fogo a reservas em jogo decisivo",NF
não é possível manter o alto nível em várias competições simultâneas,NF
Ainda será um teste para a defesa,NF
A estratégia não é novidade,NF
o Inter imerge na semana Gre-Nal com urgência por uma vitória sobre o maior rival no próximo sábado,NF
"A atuação na derrota para o Flamengo, no último domingo, deixou a desejar na avaliação interna",NF
O clima de pressão fez o clube alterar sua rotina de treinamentos,F
Falta pouco para conhecermos os 23 nomes que defenderão a seleção brasileira na Rússia.,F
"Surpresas são possíveis, não prováveis",NF
"Uns são praticamente certos, outros nem tanto",NF
"A três dias da convocação, a expectativa é máxima",NF
Os favoritos nem sempre entram na lista,NF
Hoje esse é um episódio superado na vida de Euller,NF
Ele não disputou as eliminatórias para a Copa de 2010 e foi chamado somente para o último amistoso,F
a expectativa pela última vaga no ataque estava mais em cima de Adriano e Neymar,NF
Grafite estava em casa na hora da convocação,F
"Na época, jogava no Wolfsburg, da Alemanha",F
O momento do anúncio foi o mais emocionante da carreira dele,NF
Grafite é muito agradecido a Dunga pela oportunidade e sabe que tinha totais condições de disputar um Mundial,NF
"Ao mesmo tempo, mostra rara humildade",NF
a ausência na Copa de 2002 se tornou ainda mais frustrante pelo fato de a Seleção ter conquistado o Penta,NF
Mas não foi uma opção do treinador,F
Parreira relembra como foi fazer aquela lista de convocados e revela uma curiosidade,F
"Antes de fechar a lista para a Copa de 2018, Tite sofreu uma baixa importante: com o joelho machucado, Daniel Alves está fora",NF
"o médico da seleção brasileira, Rodrigo Lasmar, confirmou que o lateral precisará passar por uma cirurgia para total recuperação de uma lesão no ligamento cruzado anterior do joelho direito",F
Lasmar apontou que a decisão sobre o procedimento está nas mãos do jogador e do PSG,F
E disse que o jogador pode ficar parado até o fim do ano,F
Daniel Alves sofreu uma lesão no joelho direito no segundo tempo da decisão da Copa da França,F
"O jogador deixou o campo, caminhou com aparente normalidade na sequência e participou da comemoração do título ao lado dos companheiros",NF
"Um exame realizado no dia seguinte, entretanto, mostrou uma desinserção no ligamento cruzado anterior do joelho direito",F
Isso significa que o ligamento se soltou de um osso,F
E também houve entorse na região,F
"o médico da seleção brasileira, Rodrigo Lasmar, viajou rumo a Paris para avaliar o lateral pessoalmente",F
"Lasmar chegou à conclusão de que o brasileiro não estaria apto a entrar em campo no torneio, tendo sua participação descartada",F
"Perdemos um líder, um grande campeão",NF
"Real Madrid está em vias de disputar a sua terceira final consecutiva de Liga dos Campeões, a quarta num intervalo de cinco anos",F
Mas um assunto segue dominando o noticiário merengue: a eventual contratação de Neymar,NF
"Questionado se há uma negociação de fato, ele despistou, mas disse que não fez qualquer pedido a esse respeito",F
"Sem paciência, Emery se esquiva sobre futuro de Neymar: ""Não posso responder",NF
Outra pergunta foi se Neymar poderia se encaixar com Cristiano Ronaldo na equipe do Real Madrid,F
"Mais uma vez, o treinador desconversou para dizer que o foco é o fim da temporada",NF
"Mas, no final da resposta, deu uma resposta mais conclusiva",NF
"Gigantes procuram Fred, mas destino é incógnita",NF
Ucranianos recusaram oferta do City pelo meio-campista em janeiro,F
"Além dos dois clubes de Manchester, outros mostraram interesse por ele",F
Objetivo do estafe é a transferência no meio do ano,F
"Essa é uma das perguntas a serem respondidas na próxima janela de transferências europeia, a partir de junho",F
"Aos 25 anos, o meio-campista vive grande fase e é cobiçado por gigantes do futebol mundial",NF
"A única coisa certa neste momento é que ele pretende deixar o Shakhtar Donetsk, da Ucrânia, no meio do ano",NF
Fred recebeu uma proposta do Manchester City em janeiro,F
o Shakhtar a recusou por estar disputando a Liga dos Campeões,F
O Manchester United também mostrou interesse,F
outros clubes também procuraram o atleta para conversar,F
O contrato de Fred com o Shakhtar vai até o meio de 2021,F
Ele disputa sua quinta temporada pelo time ucraniano,F
e acredita que é hora de mudar de ares e alçar um voo ainda mais alto,NF
Fred vive talvez a melhor fase da carreira,NF
Fred está bem cotado para ser um dos 23 nomes da lista da seleção brasileira para a Copa do Mundo,NF
Neymar apresenta novo uniforme do PSG,F
O dia foi de lançamento de outras camisas produzidas com a Nike,F
Bayern de Munique anuncia renovação dos contratos de Robben e Rafinha,F
Meia holandês e lateral brasileiro estendem vínculo por mais uma temporada e permanecerão no clube até junho de 2019,F
o Bayern de Munique anunciou mais duas renovações nesta sexta-feira,F
O holandês e o brasileiro tinham ligação com o Bayern expirando no próximo mês,F
"Aos 35 anos, Robben decidiu renovar seu contrato com o clube por mais uma temporada",F
O holandês é um dos grandes ídolos da torcida bávara,NF
"Há quase sete anos no Bayern, o lateral de 32 anos possui identificação com a torcida e recebeu diversas chances na temporada",NF
Islândia divulga os 23 convocados para sua primeira Copa do Mundo,F
"Estreante em Mundiais, seleção que surpreendeu na última Eurocopa anuncia grupo que disputará o torneio na Rússia",NF
"uma das candidatas a zebra, a Islândia definiu os 23 jogadores que defenderão o país em sua primeira Copa do Mundo",NF
os islandeses preferiram anunciar a convocação definitiva - assim como fará a seleção brasileira na próxima segunda,F
"Outras equipes, entretanto, optaram por divulgar apenas a pré-relação com 35 nomes",F
"A boa notícia é a presença de Gylfi Sigurdsson, um dos destaques da seleção nórdica",NF
"Deste então, ele não entra em campo - mas deve estar apto para jogar no início do Mundial",NF
"A Islândia estreia na Copa no dia 16 de junho, diante da Argentina, em Moscou, às 10h",F
"No dia 22, o time volta a campo para a pegar a Nigéria, em Volgogrado, e, quatro dias depois, enfrenta a Croácia, em Rostov",F
Flu tem recepção calorosa em volta ao Rio,NF
A torcida do Fluminense reconheceu o esforço do time na Copa Sul-Americana e fez festa para os jogadores no retorno deles ao Rio de Janeiro,NF
"Nesta sexta-feira, cerca de 100 pessoas recepcionaram a delegação tricolor após a classificação",F
O lateral Ayrton Lucas ressaltou a dificuldade do duelo em Potosí,F
"Antes mesmo de a delegação desembarcar, os torcedores se aglomeraram e começaram a cantar no aeroporto",F
"Na chegada dos jogadores, o bloqueio improvisado por seguranças foi furado para que se chegasse mais perto dos atletas",F
Abel Braga foi um dos mais festejados pela torcida,NF
"O Fluminense volta a campo nesta segunda-feira, pelo Campeonato Brasileiro",F
Flamengo poupa quatro titulares para duelo contra a Chape,F
"Após sequência intensa de jogos e viagens, o Flamengo terá jogadores do time titular poupados diante da Chapecoense, domingo, pelo Brasileirão",NF
"Caso vença o Emelec, o time se classifica para as oitavas de final",F
"Diego, que tratou lesão e desfalcou o time nos últimos jogos, está de volta",F
"Assim como o zagueiro Rhodolfo, que não joga há mais de um mês",F
Francês e Alemão se destacam em vitórias do Barcelona e do Manchester City,NF
lista de ausências no Mundial por lesão aumenta nos últimos dias,F
Faltam 35 dias para a Copa do Mundo,F
"além do bom desempenho defensivo, Benatia foi um dos destaques do título da Juventus na Copa da Itália",NF
"depois de sofrer com lesões musculares, enfim começa a brilhar com a camisa do Barcelona",NF
Fez linda jogada no gol de Philippe Coutinho e marcou duas vezes no fim,NF
"O segundo gol foi um golaço, com direito a arrancada desde o meio-campo e toque por cima do goleiro",NF
"o jovem atacante do Boca Juniors, de 22 anos, foi um dos destaques do empate xeneize por 2 a 2 com o Gimnasia",NF
Fez a jogada que garantiu o segundo gol do Boca,F
Ganhou força para aparecer na lista de Sampaoli,NF
É uma das poucas opções de ponta do treinador,NF
"cada vez mais perto do adeus ao Barcelona, Iniesta mostrou novamente todo o seu talento na goleada sobre o Villarreal",NF
Deu dois passes fantásticos no jogo,NF
"No terceiro, um toque genial por cima da defesa para Messi apensa deslocar o goleiro",NF
entrou apenas no fim da goleada sobre o Villarreal,F
mas se destacou no clássico contra o Real Madrid,NF
o jogo não valia nada,NF
ajudou o Manchester City a seguir quebrando recordes no Campeonato Inglês,F
O alemão deu três assistências na vitória por 3 a 1,F
Sérgio Ramos não teve uma noite feliz na derrota por 3 a 2 para o Sevilla,NF
não foi o suficiente para evitar a derrota,F
Ele já foi operado e vai precisar de seis meses para se recuperar,F
o jogador de 24 anos sofreu uma lesão no ligamento do joelho direito e ficará fora do restante dos jogos do Liverpool na temporada,F
Será a terceira competição importante consecutiva em que Chamberlain desfalcará a seleção inglesa por conta de uma lesão no joelho,NF
"O Santos cumpriu a obrigação de abrir vantagem sobre o Luverdense no primeiro duelo das oitavas de final da Copa do Brasil, na Vila Belmiro",NF
Mas em um duelo com tamanho abismo entre os dois clubes a vitória em casa era o mínimo esperado,NF
o Luverdense é o oitavo colocado de um grupo com dez times na Série C do Campeonato Brasileiro,F
"O placar de 5 a 1 a favor remete à goleada sofrida em Porto Alegre para o Grêmio, no último domingo",F
Mas a dinâmica das duas partidas foi totalmente diferente,NF
"Para quem não viu o jogo, esse resultado de 5 a 1 pode dar a falsa ideia de uma vitória fácil.",NF
O Peixe sofreu o primeiro gol em falha de Vanderlei,NF
e por pouco não foi para o intervalo atrás no placar,NF
"Gabriel havia igualado o jogo, de cabeça, após completar ótimo cruzamento de Victor Ferraz",NF
O último lance do primeiro tempo foi uma defesa fundamental de Vanderlei para evitar o segundo gol do Luverdense,NF
A jogada surgiu em um contra-ataque de quatro contra três,F
recomposição não foi veloz e o Luverdense teve muita liberdade,NF
O Peixe havia atacado com sete atletas e terminou o lance defendendo com três jogadores,F
No segundo tempo o futebol do Santos deslanchou,NF
"Vitor Bueno, com atuação apagada na primeira etapa, se destacou principalmente nas bolas paradas",NF
Ele deu assistência para Gustavo Henrique,F
"A boa batida do jogador, inclusive, precisa ser uma arma mais explorada pelo time de Jair Ventura",NF
"A expectativa sobre Bueno, aliás, é de que ele possa retomar o bom futebol praticado antes da grave lesão no joelho direito",NF
"Sem um novo meia de ligação, cobrado pela torcida em protesto antes do jogo, recai sobre Vitor Bueno a esperança nesta posição",NF
"Gabriel, autor de três gols, e Rodrygo foram os principais nomes do Santos",NF
"Embora não tenha marcado ou dado assistências, a participação de Sasha também merece destaque",NF
Sasha iniciou as jogadas do terceiro e quarto gols de Gabriel,F
"Victor Ferraz, substituto de Daniel Guedes, foi outro ponto positivo do time",NF
"Embora não sirva para apagar a péssima atuação diante do Grêmio, a goleada alivia o clima na Vila Belmiro",NF
"Mas é necessário evoluir e melhorar o futebol apresentado, caso o objetivo seja ir longe na própria Copa do Brasil e na Taça Libertadores",NF
"Por fim, o gesto de Alison de passar a faixa de capitão a Vanderlei põe uma pedra na ríspida discussão entre os dois na Arena do Grêmio",NF
"O próximo jogo do Santos é contra o Paraná, domingo, às 19h, na Vila Belmiro, pelo Brasileirão",F
O Corinthians está vivo em três competições na temporada,F
a Copa do Brasil tem tudo para ser a preferida da equipe de Fábio Carille no segundo semestre de 2018,NF
o clube tem motivos de sobra para olhar a Copa com carinho,NF
A vitória desta quinta levou o Timão às quartas de final do torneio,F
Baita atuação que classifica o Timão para as quartas-de-finais da Copa do Brasil,NF
"E pra mim o grande destaque do jogo foi o paraguaio Romero, que fez dois gols e só pra variar mostrou raça e dedicação em todos os momentos da partida",NF
Tem muita gente que critica o gringo porque ele não é um primor de técnica,NF
"Isso é verdade! Outra constatação é que analisando suas atuações, na maioria dos jogos, ele também fica longe de ser apontado como um atacante de ofício",NF
Afinal o que o Romero mais faz é dar carrinho na lateral e ficar pressionando zagueiros e volantes nas saídas de bola,NF
Agora não dá pra negar a importância dele no esquema do Corinthians desde a época em que o Tite era o comandante,NF
Incrível a transpiração desse cara,NF
"Além de ter um fôlego impressionante para atacar e defender, o Romero sabe fazer gols",NF
Estava atravessando um tremendo jejum mas com os dois dessa noite ele se isolou ainda mais como o maior artilheiro da Arena com 23 gols,F
Isso é uma marca importante,NF
E sabem mais do que? Esse moleque é humildade pura,NF
Não reclama de nada,NF
Isso cativa o torcedor corintiano,NF
"Até porque o Timão talvez seja um dos poucos clubes do Brasil e do mundo onde não precisa ser craque pra ser ídolo, basta viver o time e se dedicar",NF
A impressão que tenho do São Paulo nessa administração do presidente Leco é que ele vive buscando um personagem salvador para esconder seus GRAVES erros administrativos,NF
Pelo amor de Deus! É uma lambança atrás da outra,NF
"O torcedor são-paulino mais otimista deve estar 'P' da vida comigo, afinal como poderia estar criticando o time um dia depois da classificação na Copa Sul-Americana diante do Rosário Central",NF
Mas posso falar a verdade? Esse time argentino é uma baba! Não joga nada! Outro dia estava levando uma surra do lanterna do campeonato deles,NF
Virou motivo de chacota nacional,NF
O Tricolor não fez nada mais do que a obrigação de ficar com a vaga dentro de casa e com um elenco bem mais qualificado tecnicamente,NF
Só achei CURIOSO a reviravolta da imagem do Diego Souza dentro do clube,NF
De ENGANADOR ele virou o NOVO 'Sassá Mutema',NF
Agora jogam com os números de que ele é o artilheiro do time na temporada (5 gols) e depois da conversa com o Aguirre ele voltou a jogar bola de alto nível,NF
"Vai conduzir a equipe aos títulos, sinceramente alguém acredita nisso? Para vai",NF
"Vou falar a verdade, pra mim o Diego é sim um jogador de muita qualidade, tem força e qualidade pra jogar bola",NF
Mas não o vejo como o centroavante e goleador ideal para o São Paulo,NF
Não acho que é a dele,NF
E mais: trata-se de um jogador muito irregular,NF
"Vai ser difícil embalar como o Hernanes no ano passado, que não só livrou o time do rebaixamento como fez o campeonato dar graça novamente para o Tricolor",NF
De qualquer forma acho difícil alguma coisa dar certo no Morumbi enquanto essa diretoria tiver no poder,NF
"Acho inclusive que deveria assumir o clube gente com mentalidade nova e vencedora, Só assim pra sair do buraco",NF
Merecido,NF
Pra falar a verdade não consigo ver outra coisa senão o Verdão como FAVORITO em todas as competições que disputa,NF
Tem um baita elenco e está jogando muito bem,NF
Acho que só precisa focar mais no psicológico pra não PIPOCAR na hora 'H' das decisões,NF
Agora o que mais me chamou a atenção nesse jogo foi o desempenho do Miguel Borja,NF
Sinceramente esse colombiano é ruim demais tecnicamente,NF
"Meu Deus! Erra quase todos os domínios, pega torto na bola e perde gol adoidado",NF
Só contra o América ele desperdiçou duas chances simplesmente inacreditáveis,NF
Certamente irritou o torcedor alviverde,NF
Analisando friamente é inacreditável imaginar que ele tenha sido comprado por incríveis R$ 33 milhões do Atlético Nacional,NF
Só que não dá pra negar que ele é raçudo e tem posto a bola na rede,NF
Borja abriu o placar contra os mineiros em uma bola que bateu na sua canela,F
Mas fez o gol digno do artilheiro histórico Dadá Maravilha,NF
Foi o 11º dele na temporada em 20 partidas,F
"Já marcou mais que em 2017, quando verdade seja dita ele era preterido pelo técnico Cuca",NF
"Em contrapartida o Roger aposta nele, dá oportunidades",NF
"Se bem que entende que quando o Palmeiras encara uma equipe mais forte, que sai mais pra partida, o Borja atrapalha taticamente",NF
Resumindo eu acho o Borja um grosso de bola,NF
Não vale a grana que pagaram,NF
Mas tem feito um bom ano e empolgado a torcida do Verdão,NF
Vamos ver até quando dura o faro de gol,NF
Só acho bem difícil que o patrocinador recupere a grana investida apesar dele ter apenas 25 anos,NF
"Acompanhei um trecho divulgado pelo programa 'Bola da Vez', dos canais ESPN Brasil, onde o jogador Rodrigo Caio, zagueiro do São Paulo, fala com todas as letras de chegou a hora de deixar o clube",NF
"Dando a entender que ele só pode ter coisa melhor engatilhada com outro time, viu!? Só pode",NF
Não é possível! Ou foi totalmente JUVENIL de falar uma coisa dessas em um momento tão turbulento,NF
"Veja bem, há algum tempo o Tricolor está tentando reencontrar uma forma competitiva de jogar bola",NF
Mesmo contratando um montão de MEDALHÃO as coisas não se encaixam,NF
Nem troca de treinador está adiantando muito,NF
"Aí o Rodrigo, que é tido por todos como um dos jogadores mais valorizados do elenco - se não for O MAIS -, praticamente dá a entender que não quer mais ficar, que pretende ser negociado",NF
"Tem um porquê disso? Só pode estar de brincadeira, né? Isso pra mim é mais uma prova de que o presidente Leco não tem o menor controle sobre o clube",NF
É uma bagunça digna de time de várzea,NF
"Aliás, em muitas dessas equipes varzeanas há uma organização bem maior",NF
Lembro perfeitamente que o Rodrigo Caio quase saiu duas vezes,NF
"Teve até uma dessas que ele teria sido reprovado no exame médico, não ficou muito claro",NF
"Minha opinião? Trata-se de um bom zagueiro, de qualidade técnica, mas de porte físico franzino que pode ter dificuldades de se adaptar no futebol europeu",NF
Acho inclusive que pela bola que vem jogando ele não merece fazer parte do grupo da Seleção Brasileira que disputará a Copa do Mundo no próximo mês,NF
Agora pedir para sair do clube desse jeito é totalmente INGRATIDÃO por parte desse jogador,NF
Afinal se não fosse o São Paulo ele não seria ninguém na carreira,NF
"Poderia ter sido melhor orientado, sair por cima",NF
No próximo dia 14 o técnico Tite divulga a lista de jogadores relacionados para a disputa da próxima Copa do Mundo na Rússia,F
"E na minha visão, tendo em vista a bola que os times estão jogando, o comandante vem cometendo uma terrível injustiça",NF
"Não dá pra ignorar, por exemplo, a bola redonda que o Grêmio está jogando",NF
Pelo amor de Deus! A turma do Renato Gaúcho forma simplesmente o melhor time do País e muito provavelmente o melhor das Américas,NF
"Não à toa, inclusive, foi campeão da Libertadores no ano passado",NF
E mesmo assim o Tite pouco convoca jogadores gremistas,NF
"Acho que o Geromel foi poucas vezes lembrado, assim como o volante Arthur e o atacante Luan",NF
Os três pra mim são referências em suas posições hoje no Brasil,NF
O Geromel é tranquilamente um dos dois melhores zagueiros do País,NF
"Não dá pra entender a insistência no são-paulino Rodrigo Caio, NUNCA que ele joga mais bola",NF
É até ridículo ver isso na Seleção! E o que dizer de convocar Taison e deixar o Luan para trás? Para vai! O Luan foi eleito o craque das Américas em 2017,NF
Na campanha do Ouro Olímpico em 2016 a entrada dele mudou aquele time do Micale,NF
É um baita jogador!A geração PlayStation vai questionar o Arthur,NF
Afinal AMAM o Fernandinho! Pra mim o volante do Grêmio é 10 vezes melhor,NF
Tem mais recurso técnico e bom passe,NF
Na minha Seleção só o Casemiro está na frente dele como primeiro volante,NF
"Alias, se precisar ele faz segundo volante saindo mais para o jogo também",NF
É talvez o melhor da posição hoje no País,NF
Na goleada sobre o Santos por 5 a 1 ele deitou e rolou,NF
"Portanto, Tite, dia 14 é a hora da verdade! Chega de Ismailys e outras invenções inacreditáveis",NF
Copa é coisa séria! Precisamos dos melhores e entre eles precisam estar esses três gremistas,NF
ACORDA!Começo os 'Pitacos' desta quarta rodada do Brasileirão falando dos dois jogos de sábado,NF
Em São Januário o América saiu na frente do Vasco com gol de pênalti do Rafael Moura e achava que seria mole sair dali com os três pontos,NF
Nada disso! Na etapa final os cruz-maltinos acordaram com estilo e fizeram quatro gols,NF
Isso mesmo! Quatro! Sinceramente acho o elenco vascaíno FRACO,NF
Mas em casa precisa se superar para não sofrer contra o rebaixamento no final do ano,NF
"E de pensar que se não fossem as lambanças do Eurico era para o clube estar bem melhor, hein?Já no Morumbi foi justamente o contrário",NF
"O São Paulo abriu o placar com o gol do ex-rubro-negro Éverton e fazia uma partida controlada até a metade da etapa final, quando o Galo virou com Roger Guedes e o artilheiro Ricardo Oliveira",NF
No final o Tricolor conseguiu o empate com o Diego Souza,F
Mas posso falar a verdade? Continuo achando o time do Diego Aguirre bem instável EMOCIONALMENTE,NF
"Fora que sempre na virada de lado cansa de uma maneira impressionante, alguma coisa errado tem aí",NF
"Já no domingo pela manhã o técnico Fábio Carille lançou a campo uma equipe mista para enfrentar o Ceará, que ainda nem tinha feito gol no campeonato",F
"Pois bem, nem Pedrinho e muito menos o estreante Roger renderam próximo do esperado",NF
O Timão fez uma partida totalmente MEIA-BOCA e a galera que lotou Itaquera deixou o campo só com o empate em 1 a 1,NF
DECEPÇÃO total! Já são quatro partidas sem vitórias e a certeza de que a diretoria precisa apresentar reforços,NF
O elenco é curto e não dá para o técnico fazer tantos MILAGRES,NF
Mais a tarde o jovem time do Flu bateu o Vitória no Barradão de virada por 2 a 1 e também subiu para as primeiras colocações,F
Em BH o Cruzeiro venceu a primeira na competição,F
"A vítima foi o Botafogo: 1 a 0, gol de cabeça do Dedé",F
E posso falar? O Tite fica nessa lenga-lenga de caçar um quarto ou quinto zagueiro para a Copa,NF
Dedé é o cara! Se tiver 100% RECUPERADO é craque na posição,NF
"Pra mim ele e o Gil, ex-Timão, faria uma baita defesa!",NF
Quem lidera o campeonato de maneira isolada continua sendo o Flamengo,F
"Fez 2 a 0 no Inter com direito a mais um gol do Paquetá, outro que vem jogando uma bola redonda nas vésperas da Copa",NF
"Ah, o Guerrero voltou e vai encaixar nesse time",NF
"Olha, fiquem de olho no Mengão, hein? Se continuar assim capaz de levantar o caneco no final do nao, viu!? E quem deve disputar com o rubro-negro esse título é o Palmeiras",NF
A equipe do Roger Machado foi à Curitiba e não tomou conhecimento do Furacão: 3 a 1 fora o baile! A verdade é que elenco recheado de qualidade sempre faz diferença em competições de pontos corridos,NF
Por mais que machuque ou suspenda jogador por cartão sempre tem outro cara bom pra por no lugar,NF
"Verdão já é o vice-líder e agora SEGURA!!!Só quem ameaça Verdão e Mengão pra mim é o Grêmio, que pra mim joga o melhor futebol do País",NF
Deu dó do que os comandados do Renato fizeram com o Santos,NF
Pelo amor de Deus! Uma goleada de 5 a 1 incrível! É,NF
o Jair Ventura vai começar a ter trabalho com os corneteiros da Vila,NF
Belo trabalho do Leão até aqui,NF
Faltando pouco mais de um mês para a estreia da Copa do Mundo pouca gente fala da competição e do desempenho da Seleção Brasileira,F
